# https://apps.automeris.io/wpd/
# time(s)	2DMSD(um²)
0.20299257794968728 0.006435229199516246
0.3371440446281676 0.008088578319809246
0.3868083909455318 0.008686600129559768
0.5255324625446242 0.009741915142341845
0.25581547510459207 0.00723555574742709
0.4527413895889414 0.009211486911076082
0.6273590849094228 0.010502577877749103
0.7385016072145343 0.01125266254253103
0.900918651255186 0.012307427331917304
1.1803558483025869 0.01393259039947247
1.0285920697311175 0.013094617074388578
1.4037382537778464 0.015236181401197979
1.7746947431680897 0.017127474056841202
2.220847564139831 0.018735833734659122
2.909716274021525 0.021354539507963857
3.735448918923361 0.024669390330607673
4.746757389388049 0.027921692625852722
6.218990575232353 0.03139451178246805
7.5485652658914955 0.03552345207301786
6.851673683873219 0.03362304530412629
5.447175079755857 0.029911170344145675
4.2001842087949015 0.026423838407645027
3.271720377250187 0.022873240630029375
2.548549360109296 0.020070800215675172
1.995384642585362 0.01773241222327092
1.5864407684909456 0.016320263518382134
0.8219465362681759 0.011889415371948696
0.2965595743148101 0.007595088759844928
